GMT,CFDM1,CFDM1
,QME,SQME
1962-12-27 00:00:00,7.7870297,8.257337
1962-12-28 00:00:00,7.7870297,7.9129124
1962-12-29 00:00:00,7.6456027,7.60415
1962-12-30 00:00:00,7.6456027,7.3127613
1962-12-31 00:00:00,7.6456027,7.051852
1963-01-01 00:00:00,7.503871,6.807708
1963-01-02 00:00:00,7.503871,6.5788026
1963-01-03 00:00:00,7.503871,6.3611755
1963-01-04 00:00:00,7.3624434,6.1706758
1963-01-05 00:00:00,7.3624434,5.988405
1963-01-06 00:00:00,7.503871,5.840577
1963-01-07 00:00:00,7.503871,5.6589165
1963-01-08 00:00:00,7.503871,5.5491886
1963-01-09 00:00:00,7.503871,5.487009
1963-01-10 00:00:00,7.503871,5.344668
1963-01-11 00:00:00,7.503871,5.2645054
1963-01-12 00:00:00,7.503871,5.966155
1963-01-13 00:00:00,7.503871,6.116726
1963-01-14 00:00:00,7.503871,5.8609986
1963-01-15 00:00:00,7.503871,5.673242
1963-01-16 00:00:00,7.503871,5.4967628
1963-01-17 00:00:00,7.503871,5.3443627
1963-01-18 00:00:00,7.3624434,5.2385974
1963-01-19 00:00:00,7.3624434,5.109362
1963-01-20 00:00:00,7.3624434,5.0020723
1963-01-21 00:00:00,9.344558,5.69915
1963-01-22 00:00:00,15.857524,12.409931
1963-01-23 00:00:00,20.104912,11.835688
1963-01-24 00:00:00,18.122797,10.215067
1963-01-25 00:00:00,16.99016,9.210751
1963-01-26 00:00:00,15.998951,8.501481
1963-01-27 00:00:00,15.574365,7.7723994
1963-01-28 00:00:00,15.291205,7.174077
1963-01-29 00:00:00,15.008046,6.847027
1963-01-30 00:00:00,14.724887,6.593738
1963-01-31 00:00:00,14.441728,6.3675766
1963-02-01 00:00:00,14.158568,6.166104
1963-02-02 00:00:00,13.875105,5.9570107
1963-02-03 00:00:00,13.733678,5.807354
1963-02-04 00:00:00,13.733678,5.627522
1963-02-05 00:00:00,13.591946,5.5257187
1963-02-06 00:00:00,13.591946,5.365394
1963-02-07 00:00:00,13.591946,5.2672486
1963-02-08 00:00:00,13.591946,5.162702
1963-02-09 00:00:00,13.591946,5.0291996
1963-02-10 00:00:00,13.591946,4.963058
1963-02-11 00:00:00,13.591946,4.902098
1963-02-12 00:00:00,13.591946,4.7685957
1963-02-13 00:00:00,13.167359,4.6969676
1963-02-14 00:00:00,12.8842,4.6622205
1963-02-15 00:00:00,12.601041,4.635398
1963-02-16 00:00:00,11.89299,4.511649
1963-02-17 00:00:00,11.326673,4.4351444
1963-02-18 00:00:00,10.902085,4.39674
1963-02-19 00:00:00,10.618927,4.3741846
1963-02-20 00:00:00,10.335768,4.3607736
1963-02-21 00:00:00,10.194036,4.347972
1963-02-22 00:00:00,10.0526085,4.23611
1963-02-23 00:00:00,9.910876,4.1626534
1963-02-24 00:00:00,9.910876,4.124553
1963-02-25 00:00:00,9.769449,4.1019983
1963-02-26 00:00:00,9.627717,4.088587
1963-02-27 00:00:00,9.344558,4.0827956
1963-02-28 00:00:00,9.202826,4.0827956
1963-03-01 00:00:00,8.919666,3.9950135
1963-03-02 00:00:00,8.636507,3.9047925
1963-03-03 00:00:00,8.49508,3.859987
1963-03-04 00:00:00,8.211921,3.8343837
1963-03-05 00:00:00,8.211921,3.8191438
1963-03-06 00:00:00,8.211921,3.811219
1963-03-07 00:00:00,8.49508,3.8106093
1963-03-08 00:00:00,11.241938,3.8106093
1963-03-09 00:00:00,11.1568985,3.8106093
1963-03-10 00:00:00,10.194036,3.730142
1963-03-11 00:00:00,8.778239,3.9471598
1963-03-12 00:00:00,7.6456027,4.0099487
1963-03-13 00:00:00,7.503871,3.9136317
1963-03-14 00:00:00,7.079284,3.8679118
1963-03-15 00:00:00,6.7961254,3.846271
1963-03-16 00:00:00,6.654393,3.8252397
1963-03-17 00:00:00,6.512966,3.6950903
1963-03-18 00:00:00,6.371234,3.6185853
1963-03-19 00:00:00,6.371234,3.5801806
1963-03-20 00:00:00,6.229807,3.5576253
1963-03-21 00:00:00,6.229807,3.5442142
1963-03-22 00:00:00,6.229807,3.538423
1963-03-23 00:00:00,6.229807,3.526231
1963-03-24 00:00:00,6.654393,4.794199
1963-03-25 00:00:00,7.079284,6.3212466
1963-03-26 00:00:00,7.6456027,7.691018
1963-03-27 00:00:00,8.778239,17.54002
1963-03-28 00:00:00,16.28211,38.827557
